Platform,Category,URL,Account status,Next action,Payout method,Expected hourly range,Risk level,Verification friction,Notes,Last checked
UserTesting,User research,https://www.usertesting.com/get-paid-to-test,Registered,Complete practice test,PayPal,"$10 per standard test; higher for live interviews",Low,Medium,"Speak thoughts aloud; keep sample test honest and natural",
TestingTime,Research interviews,https://www.testingtime.com/en/become-a-paid-test-user/,Not started,Create tester profile,PayPal or bank transfer,"Varies by interview",Low,Medium,"Good for longer scheduled studies",
DataAnnotation,AI evaluation,https://www.dataannotation.tech/,Not started,Apply and complete assessment,Platform dependent,"Often advertised from $20/hour when accepted",Medium,High,"Assessment must be completed personally",
TELUS Digital AI Community,Search and AI evaluation,https://www.telusdigital.com/careers/ai-community,Not started,Search Germany/EU roles,Platform dependent,"Country and project dependent",Low,High,"Exam-heavy but legitimate",
Welocalize,Search and ads evaluation,https://jobs.lever.co/welocalize,Not started,Apply to remote evaluator roles,Platform dependent,"Country and project dependent",Low,High,"Hiring process can be slow",
Testbirds,Crowdtesting,https://nest.testbirds.com/home/tester,Not started,Create tester profile,PayPal or SEPA,"Per test; shown before acceptance",Low,Medium,"Best after writing clear bug reports",
Test IO,Crowdtesting,https://test.io/become-a-tester/,Not started,Create tester profile,Platform dependent,"Per accepted bug/test",Medium,Medium,"Higher effort; bug quality matters",
uTest,Crowdtesting,https://www.utest.com/tester-signup,Not started,Create tester profile,Platform dependent,"Per project/bug",Medium,Medium,"Established QA marketplace",
Outlier,AI training,https://outlier.ai/,Not started,Apply to matching roles,Platform dependent,"Varies by project",Medium,High,"Real platform, project availability varies",
Alignerr,AI training,https://www.alignerr.com/,Not started,Apply to matching roles,Platform dependent,"Varies by project",Medium,High,"Specialist skills can help",
