"Concept","Primary_Platform","Fallback_Platform","Priority","Asset_Status","Asset_or_Prompt","Hook_or_Title","Caption_or_Description","CTA_URL","Measurement_Goal","Gate"
"Facebook Post 2 baby shower","Facebook","TikTok","1","Ready MP4","marketing/wishees-upload-ready/wishees-photo-short-baby-shower-2026-06-22.mp4","Baby shower wishlist made easy","Baby shower dễ hơn khi mọi món cần thiết nằm trong một wishlist: tã, sách, khăn, đồ sơ sinh và những món giúp bố mẹ mới. Baby shower wishlist made easy. Tạo wishlist tại https://www.wishees.com/?lang=vi","https://www.wishees.com/?lang=vi","Test whether Facebook awareness can move Wishees-owned metrics","Manual Facebook publish required"
"Dung Hoi Em Thich Gi Nua","Facebook","TikTok","2","Prompt ready","Cafe Birthday Link","Sinh nhật tới mà ai cũng hỏi: Muốn quà gì?","Sinh nhật dễ hơn khi mọi món bạn thích nằm trong một wishlist. Một link thôi, bạn bè khỏi đoán quà.","https://www.wishees.com/?lang=vi","Test owner-side birthday awkwardness hook","Needs image/video generation"
"Gift Panic POV","TikTok","Facebook","3","Prompt ready","Gift Panic POV","POV: Mai sinh nhật bạn thân mà bạn chưa mua quà.","Không cần mua đại. Nếu bạn bè có một wishlist, chọn quà sẽ dễ hơn nhiều.","https://www.wishees.com/?lang=vi","Test gift-buyer urgency and comments","Needs video generation and TikTok upload access"
"Soft Birthday Morning","Facebook","Pinterest","4","Prompt ready","Soft Birthday Morning","Ước gì ai cũng biết mình thích gì.","Một wishlist nhỏ có thể giúp người khác chọn đúng món bạn thật sự thích.","https://www.wishees.com/?lang=vi","Test emotional wishlist-owner positioning","Needs image/video generation"
"Couple Gift Decode","TikTok","Facebook","5","Prompt ready","Couple Gift Decode","Anh không cần đọc suy nghĩ em.","Yêu nhau dễ hơn khi món quà không phải là trò đoán ý. Share một wishlist nhỏ trước dịp đặc biệt.","https://www.wishees.com/?lang=vi","Test romantic gift uncertainty","Needs image/video generation"
"Group Chat Chaos","TikTok","Facebook","6","Prompt ready","Group Gift Chaos","Team bạn thân mỗi lần góp quà:","Góp quà sinh nhật không cần một đoạn chat dài. Gom ý tưởng vào một wishlist rồi share cho cả nhóm.","https://www.wishees.com/?lang=vi","Test group gifting shareability","Needs image/video generation"
"Creator Mini Wishlist","Facebook","TikTok","7","Prompt ready","Creator Desk Wishlist","Nhiều bạn hỏi mình đang thích gì...","Nếu bạn hay được hỏi link sản phẩm hoặc món đang thích, Wishees có thể gom thành một wishlist dễ share.","https://www.wishees.com/?lang=vi","Test creator-adjacent low-friction use case","Needs image/video generation"
"Vietnamese First English Easy","Facebook","YouTube","8","Prompt ready","Vietnamese First English Easy","Bạn Việt, bạn nước ngoài, một wishlist dùng chung.","Dùng tiếng Việt cho người thân, thêm English khi cần chia sẻ với bạn bè quốc tế.","https://www.wishees.com/?lang=vi","Test local-first bilingual appeal","Needs image/video generation"
"Gift Moment Recap","Facebook","YouTube","9","Prompt ready","Gift Moment Recap","Những món quà nhỏ nhưng đúng lúc.","Sinh nhật, baby shower, cưới, tốt nghiệp hay quà gia đình. Mỗi dịp đáng nhớ nên có một wishlist dễ chia sẻ.","https://www.wishees.com/?lang=vi","Test repeat occasion framing","Needs montage generation"
"My Gift Links Finally Organized","YouTube","Pinterest","10","Prompt ready","Gift Links Organized","My gift links finally organized","I stopped sending 12 links and made one gift list instead. Wishees keeps gift ideas easier to share.","https://www.wishees.com/affiliate/program?lang=en","Test creator friction reduction","Needs video generation or static image"
"What To Buy Me If You Know Me","Pinterest","Facebook","11","Prompt ready","Cozy Flat Lay","A wishlist for people who want to get it right","For the people who want to get the gift right, make one simple wishlist.","https://www.wishees.com/?lang=en","Test personal taste to gift intent","Needs Pinterest image"
"Amazon Finds But Giftable","YouTube","Pinterest","12","Prompt ready","Amazon Finds Giftable","Not just Amazon finds. Actual gift ideas.","Gift guides work better when followers can save the ideas for a real occasion.","https://www.wishees.com/affiliate/program?lang=en","Test affiliate product occasion framing","Needs video generation"
"Registry Storefront Wishlist","YouTube","Pinterest","13","Prompt ready","Registry Plus Storefront","Your registry can stay","Your registry can stay. Your storefront can stay. Wishees just makes the gift path cleaner.","https://www.wishees.com/affiliate/program?lang=en","Test works-alongside positioning","Needs explainer asset"
"The Birthday Drop","TikTok","YouTube","14","Prompt ready","Birthday Drop","I made my birthday wishlist so nobody has to guess","Make your birthday list feel like a tiny launch. Easy for friends, useful for followers.","https://www.wishees.com/?lang=en","Test creator birthday occasion hook","Needs video generation"
"Creator Gift Guide Without Losing Links","Pinterest","YouTube","15","Prompt ready","Creator Desk Affiliate","One guide all my original shopping links","Wishees can sit around the gift-list moment while your original shopping links stay yours where supported.","https://www.wishees.com/affiliate/program?lang=en","Test affiliate ownership reassurance","Needs image/video generation"
"Follower Gift Finder","YouTube","Pinterest","16","Prompt ready","Themed Gift Finder","Send this to someone who never knows what to buy","One themed wishlist can turn a vague interest into an actual gift.","https://www.wishees.com/?lang=en","Test gift-giver click quality","Needs themed series asset"
"From Saved Pins To Bought Gifts","Pinterest","YouTube","17","Prompt ready","Pinterest To Wishlist","Your Pinterest board is the vibe. Wishees is the gift list.","Save inspiration on Pinterest, then turn the best ideas into a wishlist people can actually use.","https://www.wishees.com/?lang=en","Test inspiration-to-action bridge","Needs Pinterest image"
